,,targets,pct,pct_acum
Josh Allen,Z.Jones,83,0.0217,0.7828
Josh Allen,E.Sanders,73,0.0191,0.8019
Josh Allen,Z.Moss,58,0.0152,0.8171
Josh Allen,R.Foster,54,0.0141,0.8312
Josh Allen,K.Coleman,48,0.0126,0.8438
Josh Allen,M.Hollins,46,0.012,0.8558
Josh Allen,C.Samuel,36,0.0094,0.8652
Josh Allen,A.Cooper,32,0.0084,0.8736
Josh Allen,K.Benjamin,29,0.0076,0.8812
Josh Allen,T.Kroft,27,0.0071,0.8883
Josh Allen,L.McCoy,27,0.0071,0.8954
Josh Allen,C.Clay,24,0.0063,0.9017
Josh Allen,J.Croom,23,0.006,0.9077
Josh Allen,Ty.Johnson,23,0.006,0.9137
Josh Allen,T.Sherfield,22,0.0058,0.9195
Josh Allen,L.Murray,22,0.0058,0.9253
Josh Allen,D.Harty,21,0.0055,0.9308
Josh Allen,T.Sweeney,19,0.005,0.9358
Josh Allen,Q.Morris,18,0.0047,0.9405
Josh Allen,R.Gilliam,17,0.0044,0.9449
Josh Allen,R.Davis,15,0.0039,0.9488
Josh Allen,A.Holmes,14,0.0037,0.9525
Josh Allen,J.Kumerow,14,0.0037,0.9562
Josh Allen,J.Crowder,13,0.0034,0.9596
Josh Allen,F.Gore,13,0.0034,0.963
Josh Allen,T.Yeldon,11,0.0029,0.9659
Josh Allen,A.Roberts,11,0.0029,0.9688
Josh Allen,L.Smith,11,0.0029,0.9717
Josh Allen,P.DiMarco,10,0.0026,0.9743
Josh Allen,D.Thompson,10,0.0026,0.9769
Patrick Mahomes,T.Kelce,948,0.2174,0.2174
Patrick Mahomes,T.Hill,493,0.113,0.3304
Patrick Mahomes,0,367,0.0842,0.4146
Patrick Mahomes,M.Hardman,237,0.0543,0.4689
Patrick Mahomes,S.Watkins,183,0.042,0.5109
Patrick Mahomes,D.Robinson,182,0.0417,0.5526
Patrick Mahomes,N.Gray,128,0.0294,0.582
Patrick Mahomes,R.Rice,127,0.0291,0.6111
Patrick Mahomes,J.Smith-Schuster,126,0.0289,0.64
Patrick Mahomes,M.Valdes-Scantling,123,0.0282,0.6682
Patrick Mahomes,C.Edwards-Helaire,122,0.028,0.6962
Patrick Mahomes,J.McKinnon,122,0.028,0.7242
Patrick Mahomes,Ju.Watson,114,0.0261,0.7503
Patrick Mahomes,X.Worthy,98,0.0225,0.7728
Patrick Mahomes,B.Pringle,84,0.0193,0.7921
Patrick Mahomes,I.Pacheco,79,0.0181,0.8102
Patrick Mahomes,S.Moore,72,0.0165,0.8267
Patrick Mahomes,K.Hunt,67,0.0154,0.8421
Patrick Mahomes,D.Hopkins,58,0.0133,0.8554
Patrick Mahomes,Da.Williams,56,0.0128,0.8682
Patrick Mahomes,K.Toney,55,0.0126,0.8808
Patrick Mahomes,C.Conley,52,0.0119,0.8927
Patrick Mahomes,B.Bell,34,0.0078,0.9005
Patrick Mahomes,S.Perine,34,0.0078,0.9083
Patrick Mahomes,Dam.Williams,33,0.0076,0.9159
Patrick Mahomes,S.Ware,30,0.0069,0.9228
Patrick Mahomes,D.Harris,29,0.0066,0.9294
Patrick Mahomes,L.McCoy,28,0.0064,0.9358
Patrick Mahomes,Darr.Williams,26,0.006,0.9418
Patrick Mahomes,Dam. Williams,24,0.0055,0.9473
Patrick Mahomes,J.Fortson,21,0.0048,0.9521
Patrick Mahomes,D.Williams,18,0.0041,0.9562
Patrick Mahomes,A.Sherman,17,0.0039,0.9601
Patrick Mahomes,L.Bell,17,0.0039,0.964
Patrick Mahomes,M.Brown,15,0.0034,0.9674
Patrick Mahomes,J.Gordon,14,0.0032,0.9706
Patrick Mahomes,R.James,12,0.0028,0.9734
Patrick Mahomes,D.Thompson,12,0.0028,0.9762
Patrick Mahomes,A.Wilson,10,0.0023,0.9785
Joe Burrow,J.Chase,533,0.1942,0.1942
Joe Burrow,T.Higgins,449,0.1636,0.3578
Joe Burrow,T.Boyd,330,0.1203,0.4781
Joe Burrow,0,268,0.0977,0.5758
Joe Burrow,J.Mixon,184,0.0671,0.6429
Joe Burrow,S.Perine,87,0.0317,0.6746
Joe Burrow,M.Gesicki,83,0.0302,0.7048
Joe Burrow,D.Sample,80,0.0292,0.734
Joe Burrow,A.Green,75,0.0273,0.7613
Joe Burrow,C.Uzomah,74,0.027,0.7883
Joe Burrow,C.Brown,68,0.0248,0.8131
Joe Burrow,H.Hurst,67,0.0244,0.8375
Joe Burrow,A.Iosivas,67,0.0244,0.8619
Joe Burrow,T.Irwin,51,0.0186,0.8805
Joe Burrow,T.Hudson,44,0.016,0.8965
Joe Burrow,G.Bernard,40,0.0146,0.9111
Joe Burrow,Z.Moss,27,0.0098,0.9209
Joe Burrow,M.Thomas,26,0.0095,0.9304
Joe Burrow,M.Wilcox,23,0.0084,0.9388
Joe Burrow,A.Tate,23,0.0084,0.9472
Joe Burrow,E.All,22,0.008,0.9552
Joe Burrow,I.Smith,21,0.0077,0.9629
Joe Burrow,C.Evans,17,0.0062,0.9691
Joe Burrow,J.Burton,14,0.0051,0.9742
Joe Burrow,Mi.Thomas,11,0.004,0.9782
Joe Burrow,T.Williams,10,0.0036,0.9818
Lamar Jackson,M.Andrews,506,0.1825,0.1825
Lamar Jackson,0,274,0.0988,0.2813
Lamar Jackson,M.Brown,257,0.0927,0.374
Lamar Jackson,Z.Flowers,226,0.0815,0.4555
Lamar Jackson,R.Bateman,188,0.0678,0.5233
Lamar Jackson,I.Likely,126,0.0454,0.5687
Lamar Jackson,W.Snead,111,0.04,0.6087
Lamar Jackson,J.Hill,103,0.0371,0.6458
Lamar Jackson,D.Duvernay,101,0.0364,0.6822
Lamar Jackson,N.Agholor,69,0.0249,0.7071
Lamar Jackson,N.Boyle,64,0.0231,0.7302
Lamar Jackson,O.Beckham,62,0.0224,0.7526
Lamar Jackson,P.Ricard,56,0.0202,0.7728
Lamar Jackson,M.Boykin,51,0.0184,0.7912
Lamar Jackson,H.Hurst,49,0.0177,0.8089
Lamar Jackson,D.Robinson,42,0.0151,0.824
Lamar Jackson,S.Watkins,42,0.0151,0.8391
Lamar Jackson,M.Ingram,37,0.0133,0.8524
